software;mouseReMoCo;;;screenHeight 995;centerX 953;centerY 497;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 536;cornerY 80;externalRadius 417;internalRadius 337;borderRadius 1;cursorRadius 16;indexOfDifficulty 50.33232485432158;taskRadius 376.5;taskTolerance 47
01/12/2025;16:16:42.378;100;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
timestamp;mouseX;mouseY;mouseInTarget;;;;;;;;;;;;;;;;;;;;;
1764602209153;582;605;1;;;;;;;;;;;;;;;;;;;;;
1764602209162;582;609;1;;;;;;;;;;;;;;;;;;;;;
1764602209168;584;614;1;;;;;;;;;;;;;;;;;;;;;
1764602209175;585;617;1;;;;;;;;;;;;;;;;;;;;;
1764602209182;586;620;1;;;;;;;;;;;;;;;;;;;;;
1764602209189;587;622;1;;;;;;;;;;;;;;;;;;;;;
1764602209195;588;625;1;;;;;;;;;;;;;;;;;;;;;
1764602209203;589;628;1;;;;;;;;;;;;;;;;;;;;;
1764602209210;591;632;1;;;;;;;;;;;;;;;;;;;;;
1764602209219;593;636;1;;;;;;;;;;;;;;;;;;;;;
1764602209225;595;640;1;;;;;;;;;;;;;;;;;;;;;
1764602209233;596;643;1;;;;;;;;;;;;;;;;;;;;;
1764602209240;598;646;1;;;;;;;;;;;;;;;;;;;;;
1764602209246;600;651;1;;;;;;;;;;;;;;;;;;;;;
1764602209254;601;655;1;;;;;;;;;;;;;;;;;;;;;
1764602209261;603;658;1;;;;;;;;;;;;;;;;;;;;;
1764602209268;606;663;1;;;;;;;;;;;;;;;;;;;;;
1764602209275;608;666;1;;;;;;;;;;;;;;;;;;;;;
1764602209282;610;670;1;;;;;;;;;;;;;;;;;;;;;
1764602209290;613;673;1;;;;;;;;;;;;;;;;;;;;;
1764602209296;614;676;1;;;;;;;;;;;;;;;;;;;;;
1764602209303;617;679;1;;;;;;;;;;;;;;;;;;;;;
1764602209311;618;682;1;;;;;;;;;;;;;;;;;;;;;
1764602209319;621;686;1;;;;;;;;;;;;;;;;;;;;;
1764602209325;623;688;1;;;;;;;;;;;;;;;;;;;;;
1764602209332;625;690;1;;;;;;;;;;;;;;;;;;;;;
1764602209339;626;692;1;;;;;;;;;;;;;;;;;;;;;
1764602209346;629;695;1;;;;;;;;;;;;;;;;;;;;;
1764602209353;630;696;1;;;;;;;;;;;;;;;;;;;;;
1764602209361;632;698;1;;;;;;;;;;;;;;;;;;;;;
1764602209367;634;700;1;;;;;;;;;;;;;;;;;;;;;
1764602209375;636;701;1;;;;;;;;;;;;;;;;;;;;;
1764602209382;637;704;1;;;;;;;;;;;;;;;;;;;;;
1764602209389;640;705;1;;;;;;;;;;;;;;;;;;;;;
1764602209397;643;708;1;;;;;;;;;;;;;;;;;;;;;
1764602209404;645;710;1;;;;;;;;;;;;;;;;;;;;;
1764602209411;649;713;1;;;;;;;;;;;;;;;;;;;;;
1764602209419;652;715;1;;;;;;;;;;;;;;;;;;;;;
1764602209425;656;719;1;;;;;;;;;;;;;;;;;;;;;
1764602209432;661;723;1;;;;;;;;;;;;;;;;;;;;;
